basic_prompt,instructive_prompt,CoT_prompt
"If all cars were to suddenly stop working, how would you travel from one city to another?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all cars were to suddenly stop working, how would you travel from one city to another?","If all cars were to suddenly stop working, how would you travel from one city to another? Let's think step by step."
"If all electronic communication were to suddenly cease, how would you contact someone in another country?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all electronic communication were to suddenly cease, how would you contact someone in another country?","If all electronic communication were to suddenly cease, how would you contact someone in another country? Let's think step by step."
"If all supermarkets were to close down, how would you obtain food?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all supermarkets were to close down, how would you obtain food?","If all supermarkets were to close down, how would you obtain food? Let's think step by step."
"If your house were to suddenly disappear, where would you live?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If your house were to suddenly disappear, where would you live?","If your house were to suddenly disappear, where would you live? Let's think step by step."
"If your house were to suddenly disappear, where would you live?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If your house were to suddenly disappear, where would you live?","If your house were to suddenly disappear, where would you live? Let's think step by step."
"If the sun didn't rise tomorrow, how would you ensure you had enough light during the day?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If the sun didn't rise tomorrow, how would you ensure you had enough light during the day?","If the sun didn't rise tomorrow, how would you ensure you had enough light during the day? Let's think step by step."
"If all books were to disappear, how would you gain knowledge?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all books were to disappear, how would you gain knowledge?","If all books were to disappear, how would you gain knowledge? Let's think step by step."
"If you couldn't speak for a month, how would you communicate your thoughts to others?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If you couldn't speak for a month, how would you communicate your thoughts to others?","If you couldn't speak for a month, how would you communicate your thoughts to others? Let's think step by step."
"If all water sources were polluted, how would you obtain clean drinking water?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all water sources were polluted, how would you obtain clean drinking water?","If all water sources were polluted, how would you obtain clean drinking water? Let's think step by step."
"If all clothes disappeared, how would you protect yourself from the elements?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all clothes disappeared, how would you protect yourself from the elements?","If all clothes disappeared, how would you protect yourself from the elements? Let's think step by step."
"If all doctors and medical facilities disappeared, how would you maintain your health?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all doctors and medical facilities disappeared, how would you maintain your health?","If all doctors and medical facilities disappeared, how would you maintain your health? Let's think step by step."
"If all computers crashed, how would you continue your work or studies?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all computers crashed, how would you continue your work or studies?","If all computers crashed, how would you continue your work or studies? Let's think step by step."
"If there were no more fuel sources, how would you heat your home?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If there were no more fuel sources, how would you heat your home?","If there were no more fuel sources, how would you heat your home? Let's think step by step."
"If there were no more phones, how would you stay connected with your friends and family?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If there were no more phones, how would you stay connected with your friends and family?","If there were no more phones, how would you stay connected with your friends and family? Let's think step by step."
"If all music instruments disappeared, how would you create music?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If all music instruments disappeared, how would you create music?","If all music instruments disappeared, how would you create music? Let's think step by step."
"If you could only use your non-dominant hand for a month, how would you adapt?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If you could only use your non-dominant hand for a month, how would you adapt?","If you could only use your non-dominant hand for a month, how would you adapt? Let's think step by step."
"If you were to wake up in a different time period, how would you adapt to survive?","Creativity Situation Task. The purpose of this task is to assess your ability to generate creative solutions to a unique situations. You'll be presented with a scenario, and your task is to suggest as many solutions or outcomes as you can think of for each situation. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually happen or not. This is a thought experiment, so push your imagination to its limits. Try to generate as many diverse and unique outcomes as you can. Quality is important, but so is quantity. Here's the scenario: If you were to wake up in a different time period, how would you adapt to survive?","If you were to wake up in a different time period, how would you adapt to survive? Let's think step by step."
