Input.problem_id,correctness_label_final
2016_AMC_8_Problems_15,1
1991_AJHSME_Problems_25,1
1996_AJHSME_Problems_20,1
2001_AMC_8_Problems_25,1
1996_AJHSME_Problems_12,1
1996_AJHSME_Problems_25,1
2012_AMC_10A_Problems_21,1
2008_AMC_10A_Problems_5,1
2005_AMC_10B_Problems_19,1
2006_AMC_12A_Problems_3,1
2012_AMC_12B_Problems_24,1
2007_AMC_12B_Problems_5,1
2021_AMC_12A_Problems_2,1
2003_AMC_12B_Problems_6,1
2020_AMC_12B_Problems_20,1
2011_AMC_12B_Problems_25,1
1986_IMO_Problems_6,1
1990_IMO_Problems_1,0
1968_IMO_Problems_2,1
2019_USAMO_Problems_4,1
2019_USAMO_Problems_4,0
1996_USAMO_Problems_6,0
2021_USAMO_Problems_6,1
2020_USAMO_Problems_1,0
1996_USAMO_Problems_5,1
1977_USAMO_Problems_1,1
2016_USAMO_Problems_3,0
1975_USAMO_Problems_5,1
2013_AIME_II_Problems_11,1
2015_AIME_II_Problems_1,1
2017_AIME_I_Problems_14,1
2022_AIME_I_Problems_4,1
2000_AIME_II_Problems_5,1
2023_AIME_II_Problems_10,1
1990_AIME_Problems_3,1
1994_AIME_Problems_10,1
2003_AIME_II_Problems_7,1
1987_AIME_Problems_8,1
1958_AHSME_Problems_31,1
1952_AHSME_Problems_16,1
1957_AHSME_Problems_38,1
1973_AHSME_Problems_30,1
1988_AHSME_Problems_4,1
1966_AHSME_Problems_30,1
2012_USAJMO_Problems_1,0
2022_USAJMO_Problems_5,1
2022_USAJMO_Problems_4,1
