model,Fluency_avg,Fluency_std,Flexibility_avg,Flexibility_std,Originality_avg,Originality_std,Elaboration_avg,Elaboration_std
Mistral-7B-Instruct-v0.3,0.7268,0.16499999999999998,0.827,0.1735,0.5932999999999999,0.1759,0.5721499999999999,0.11910000000000001
Qwen2.5-7B-Instruct,0.76585,0.1474,0.86975,0.1365,0.61105,0.15455,0.6293500000000001,0.1309
OLMo-2-1124-7B-Instruct,0.6286499999999999,0.1886,0.6894,0.22089999999999999,0.50975,0.18059999999999998,0.53105,0.13905
Llama-3.1-8B-Instruct,0.734,0.17115,0.8041,0.17335,0.59355,0.1653,0.5994,0.133
OLMo-2-1124-13B-Instruct,0.5813999999999999,0.21215,0.62505,0.24774999999999997,0.48565,0.1862,0.50695,0.15455000000000002
Mistral-Small-24B-Instruct-2501,0.7035,0.17125,0.79035,0.1931,0.5687,0.1659,0.5725,0.12165000000000001
Qwen2.5-32B-Instruct,0.7448,0.15239999999999998,0.85635,0.13385,0.6124,0.1496,0.6333,0.10969999999999999
Mixtral-8x7B-Instruct-v0.1,0.7037,0.1827,0.7665500000000001,0.20134999999999997,0.5522,0.17965,0.51855,0.13665
Llama-3.3-70B-Instruct,0.7246999999999999,0.1648,0.81795,0.16970000000000002,0.5972,0.16925,0.6077,0.11585000000000001
Qwen2.5-72B-Instruct,0.767,0.15100000000000002,0.8929,0.13119999999999998,0.62915,0.13835,0.62905,0.10145
gpt-4.1-2025-04-14,0.7734000000000001,0.15025,0.8996,0.12745,0.6656,0.15995,0.6482,0.1144
gpt-4.1-mini-2025-04-14,0.7418,0.1515,0.88195,0.12865,0.6382000000000001,0.1588,0.6419,0.10555
gemini-2.0-flash,0.78955,0.15625,0.8789,0.12340000000000001,0.6905,0.14125,0.7079500000000001,0.11925
deepseek-reasoner,0.782,0.1679,0.90665,0.12664999999999998,0.7302500000000001,0.18665,0.7126,0.13485
deepseek-chat,0.77785,0.16645,0.9061,0.11785,0.73725,0.17195,0.72105,0.1223
claude-3-7-sonnet-20250219,0.75385,0.19140000000000001,0.8464,0.1698,0.6762,0.1805,0.59865,0.1406
claude-3-haiku-20240307,0.6517999999999999,0.14705000000000001,0.7654,0.17395,0.5326,0.14705000000000001,0.5716,0.1211
