basic_prompt,instructive_prompt,CoT_prompt
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  brick","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  brick","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  brick"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  paperclip","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  paperclip","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  paperclip"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  rubber hand","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  rubber hand","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  rubber hand"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  cardboard box","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  cardboard box","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  cardboard box"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  spoon","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  spoon","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  spoon"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  plastic bottle","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  plastic bottle","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  plastic bottle"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  tire","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  tire","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  tire"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  coat hanger","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  coat hanger","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  coat hanger"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  sock","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  sock","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  sock"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  ladder","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  ladder","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  ladder"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  pen","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  pen","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  pen"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  chair","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  chair","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  chair"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  balloon","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  balloon","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  balloon"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  rubber duck","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  rubber duck","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  rubber duck"
"Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Please list unusual uses of  stapler","Unusual Uses Task. The purpose of this task is to measure your ability to come up with creative and unique uses for everyday objects. We're looking for out-of-the-box thinking here. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for the object as you can think of. Please list unusual uses of  stapler","Unusual Uses Task. You will be presented with a common object, and your task is to suggest as many unusual, innovative, or non-traditional uses for each object as you can think of. Let's think step by step. Please list unusual uses of  stapler"
