basic_prompt,instructive_prompt,CoT_prompt
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: pencil","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: pencil","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: pencil"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: wristwatch","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: wristwatch","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: wristwatch"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: bicycle","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: bicycle","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: bicycle"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: microwave owen","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: microwave owen","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: microwave owen"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: book","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: book","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: book"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: pair of shoes","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: pair of shoes","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: pair of shoes"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: umbrella","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: umbrella","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: umbrella"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: toothbrush","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: toothbrush","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: toothbrush"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: refrigerator","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: refrigerator","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: refrigerator"
"Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Here's the object: headphones","Creativity Improvement Task. The purpose of this task is to assess your ability to generate creative improvements for common objects. You'll be presented with an object, and your task is to suggest as many ways as you can think of to improve the object. Remember, the focus of this task is on creativity, not feasibility. Don't limit your ideas based on whether they could actually be implemented or not. Think outside the box, and try to come up with as many diverse and unique ideas as you can. Quality is important, but so is quantity. Here's the objects: headphones","Creativity Improvement Task. You'll be presented with a object, and your task is to suggest as many ways as you can think of to improve the object. Let's think step by step. Here's the object: headphones"
